,파라미터,구분,제조사,대표차명,모델명,연식
12,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A026"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C001"", ""menuPrye"": ""2003"", ""searchStr"": """"}",수입,사브,9-3,9-3,2003
13,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A026"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C001"", ""menuPrye"": ""2002"", ""searchStr"": """"}",수입,사브,9-3,9-3,2002
14,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A026"", ""menuReprsnt"": ""B002"", ""menuModel"": ""C001"", ""menuPrye"": ""2009"", ""searchStr"": """"}",수입,사브,9-5,9-5,2009
15,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A026"", ""menuReprsnt"": ""B002"", ""menuModel"": ""C001"", ""menuPrye"": ""2008"", ""searchStr"": """"}",수입,사브,9-5,9-5,2008
16,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A026"", ""menuReprsnt"": ""B002"", ""menuModel"": ""C001"", ""menuPrye"": ""2006"", ""searchStr"": """"}",수입,사브,9-5,9-5,2006
17,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A026"", ""menuReprsnt"": ""B002"", ""menuModel"": ""C001"", ""menuPrye"": ""2005"", ""searchStr"": """"}",수입,사브,9-5,9-5,2005
18,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A026"", ""menuReprsnt"": ""B002"", ""menuModel"": ""C001"", ""menuPrye"": ""2004"", ""searchStr"": """"}",수입,사브,9-5,9-5,2004
19,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A026"", ""menuReprsnt"": ""B002"", ""menuModel"": ""C001"", ""menuPrye"": ""2003"", ""searchStr"": """"}",수입,사브,9-5,9-5,2003
20,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A026"", ""menuReprsnt"": ""B002"", ""menuModel"": ""C001"", ""menuPrye"": ""2002"", ""searchStr"": """"}",수입,사브,9-5,9-5,2002
21,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A027"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C001"", ""menuPrye"": ""2009"", ""searchStr"": """"}",수입,사이언,xB,xB,2009
22,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A028"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C001"", ""menuPrye"": ""2007"", ""searchStr"": """"}",수입,새턴,스카이,스카이,2007
23,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C001"", ""menuPrye"": ""2012"", ""searchStr"": """"}",수입,쉐보레,말리부,말리부,2012
24,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B008"", ""menuModel"": ""C001"", ""menuPrye"": ""2002"", ""searchStr"": """"}",수입,쉐보레,블레이저,블레이저,2002
25,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B009"", ""menuModel"": ""C001"", ""menuPrye"": ""2020"", ""searchStr"": """"}",수입,쉐보레,실버라도,실버라도,2020
26,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B009"", ""menuModel"": ""C001"", ""menuPrye"": ""2017"", ""searchStr"": """"}",수입,쉐보레,실버라도,실버라도,2017
27,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B009"", ""menuModel"": ""C001"", ""menuPrye"": ""2016"", ""searchStr"": """"}",수입,쉐보레,실버라도,실버라도,2016
28,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B009"", ""menuModel"": ""C001"", ""menuPrye"": ""2015"", ""searchStr"": """"}",수입,쉐보레,실버라도,실버라도,2015
29,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B009"", ""menuModel"": ""C001"", ""menuPrye"": ""2013"", ""searchStr"": """"}",수입,쉐보레,실버라도,실버라도,2013
30,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B009"", ""menuModel"": ""C001"", ""menuPrye"": ""2011"", ""searchStr"": """"}",수입,쉐보레,실버라도,실버라도,2011
31,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B009"", ""menuModel"": ""C001"", ""menuPrye"": ""2009"", ""searchStr"": """"}",수입,쉐보레,실버라도,실버라도,2009
32,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B009"", ""menuModel"": ""C001"", ""menuPrye"": ""2008"", ""searchStr"": """"}",수입,쉐보레,실버라도,실버라도,2008
33,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B009"", ""menuModel"": ""C001"", ""menuPrye"": ""2006"", ""searchStr"": """"}",수입,쉐보레,실버라도,실버라도,2006
34,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B009"", ""menuModel"": ""C001"", ""menuPrye"": ""2003"", ""searchStr"": """"}",수입,쉐보레,실버라도,실버라도,2003
35,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B010"", ""menuModel"": ""C001"", ""menuPrye"": ""2008"", ""searchStr"": """"}",수입,쉐보레,아발란치,아발란치,2008
36,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B010"", ""menuModel"": ""C001"", ""menuPrye"": ""2007"", ""searchStr"": """"}",수입,쉐보레,아발란치,아발란치,2007
37,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B010"", ""menuModel"": ""C001"", ""menuPrye"": ""2006"", ""searchStr"": """"}",수입,쉐보레,아발란치,아발란치,2006
38,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B010"", ""menuModel"": ""C001"", ""menuPrye"": ""2005"", ""searchStr"": """"}",수입,쉐보레,아발란치,아발란치,2005
39,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B002"", ""menuModel"": ""C001"", ""menuPrye"": ""2018"", ""searchStr"": """"}",수입,쉐보레,이퀴녹스,이퀴녹스,2018
40,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B003"", ""menuModel"": ""C001"", ""menuPrye"": ""2019"", ""searchStr"": """"}",수입,쉐보레,카마로,카마로,2019
41,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B003"", ""menuModel"": ""C001"", ""menuPrye"": ""2018"", ""searchStr"": """"}",수입,쉐보레,카마로,카마로,2018
42,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B003"", ""menuModel"": ""C001"", ""menuPrye"": ""2017"", ""searchStr"": """"}",수입,쉐보레,카마로,카마로,2017
43,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B003"", ""menuModel"": ""C001"", ""menuPrye"": ""2014"", ""searchStr"": """"}",수입,쉐보레,카마로,카마로,2014
44,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B003"", ""menuModel"": ""C001"", ""menuPrye"": ""2013"", ""searchStr"": """"}",수입,쉐보레,카마로,카마로,2013
45,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B003"", ""menuModel"": ""C001"", ""menuPrye"": ""2012"", ""searchStr"": """"}",수입,쉐보레,카마로,카마로,2012
46,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B003"", ""menuModel"": ""C001"", ""menuPrye"": ""2011"", ""searchStr"": """"}",수입,쉐보레,카마로,카마로,2011
47,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B003"", ""menuModel"": ""C001"", ""menuPrye"": ""2010"", ""searchStr"": """"}",수입,쉐보레,카마로,카마로,2010
48,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B004"", ""menuModel"": ""C001"", ""menuPrye"": ""2010"", ""searchStr"": """"}",수입,쉐보레,코발트,코발트,2010
49,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B005"", ""menuModel"": ""C001"", ""menuPrye"": ""2021"", ""searchStr"": """"}",수입,쉐보레,콜로라도,콜로라도,2021
50,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B005"", ""menuModel"": ""C001"", ""menuPrye"": ""2020"", ""searchStr"": """"}",수입,쉐보레,콜로라도,콜로라도,2020
51,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B005"", ""menuModel"": ""C001"", ""menuPrye"": ""2016"", ""searchStr"": """"}",수입,쉐보레,콜로라도,콜로라도,2016
52,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B006"", ""menuModel"": ""C001"", ""menuPrye"": ""2019"", ""searchStr"": """"}",수입,쉐보레,콜뱃,콜뱃,2019
53,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B006"", ""menuModel"": ""C001"", ""menuPrye"": ""2017"", ""searchStr"": """"}",수입,쉐보레,콜뱃,콜뱃,2017
54,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B006"", ""menuModel"": ""C001"", ""menuPrye"": ""2016"", ""searchStr"": """"}",수입,쉐보레,콜뱃,콜뱃,2016
55,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B006"", ""menuModel"": ""C001"", ""menuPrye"": ""2015"", ""searchStr"": """"}",수입,쉐보레,콜뱃,콜뱃,2015
56,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B006"", ""menuModel"": ""C001"", ""menuPrye"": ""2014"", ""searchStr"": """"}",수입,쉐보레,콜뱃,콜뱃,2014
57,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B006"", ""menuModel"": ""C001"", ""menuPrye"": ""2012"", ""searchStr"": """"}",수입,쉐보레,콜뱃,콜뱃,2012
58,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B006"", ""menuModel"": ""C001"", ""menuPrye"": ""2011"", ""searchStr"": """"}",수입,쉐보레,콜뱃,콜뱃,2011
59,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B006"", ""menuModel"": ""C001"", ""menuPrye"": ""2008"", ""searchStr"": """"}",수입,쉐보레,콜뱃,콜뱃,2008
60,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B006"", ""menuModel"": ""C001"", ""menuPrye"": ""2007"", ""searchStr"": """"}",수입,쉐보레,콜뱃,콜뱃,2007
61,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B006"", ""menuModel"": ""C001"", ""menuPrye"": ""2006"", ""searchStr"": """"}",수입,쉐보레,콜뱃,콜뱃,2006
62,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B007"", ""menuModel"": ""C001"", ""menuPrye"": ""2010"", ""searchStr"": """"}",수입,쉐보레,타호,타호,2010
63,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A029"", ""menuReprsnt"": ""B007"", ""menuModel"": ""C001"", ""menuPrye"": ""2002"", ""searchStr"": """"}",수입,쉐보레,타호,타호,2002
64,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C001"", ""menuPrye"": ""2017"", ""searchStr"": """"}",수입,스마트,포투,포투,2017
65,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C001"", ""menuPrye"": ""2016"", ""searchStr"": """"}",수입,스마트,포투,포투,2016
66,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C001"", ""menuPrye"": ""2015"", ""searchStr"": """"}",수입,스마트,포투,포투,2015
67,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C001"", ""menuPrye"": ""2014"", ""searchStr"": """"}",수입,스마트,포투,포투,2014
68,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C001"", ""menuPrye"": ""2013"", ""searchStr"": """"}",수입,스마트,포투,포투,2013
69,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C001"", ""menuPrye"": ""2012"", ""searchStr"": """"}",수입,스마트,포투,포투,2012
70,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C001"", ""menuPrye"": ""2011"", ""searchStr"": """"}",수입,스마트,포투,포투,2011
71,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C001"", ""menuPrye"": ""2010"", ""searchStr"": """"}",수입,스마트,포투,포투,2010
72,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C001"", ""menuPrye"": ""2009"", ""searchStr"": """"}",수입,스마트,포투,포투,2009
73,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C001"", ""menuPrye"": ""2008"", ""searchStr"": """"}",수입,스마트,포투,포투,2008
74,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C002"", ""menuPrye"": ""2017"", ""searchStr"": """"}",수입,스마트,포투,포투카브리오,2017
75,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C002"", ""menuPrye"": ""2015"", ""searchStr"": """"}",수입,스마트,포투,포투카브리오,2015
76,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C002"", ""menuPrye"": ""2014"", ""searchStr"": """"}",수입,스마트,포투,포투카브리오,2014
77,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C002"", ""menuPrye"": ""2013"", ""searchStr"": """"}",수입,스마트,포투,포투카브리오,2013
78,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C002"", ""menuPrye"": ""2012"", ""searchStr"": """"}",수입,스마트,포투,포투카브리오,2012
79,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C002"", ""menuPrye"": ""2011"", ""searchStr"": """"}",수입,스마트,포투,포투카브리오,2011
80,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C002"", ""menuPrye"": ""2010"", ""searchStr"": """"}",수입,스마트,포투,포투카브리오,2010
81,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C002"", ""menuPrye"": ""2009"", ""searchStr"": """"}",수입,스마트,포투,포투카브리오,2009
82,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C002"", ""menuPrye"": ""2008"", ""searchStr"": """"}",수입,스마트,포투,포투카브리오,2008
83,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C002"", ""menuPrye"": ""2001"", ""searchStr"": """"}",수입,스마트,포투,포투카브리오,2001
84,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C003"", ""menuPrye"": ""2015"", ""searchStr"": """"}",수입,스마트,포투,포투쿠페,2015
85,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C003"", ""menuPrye"": ""2014"", ""searchStr"": """"}",수입,스마트,포투,포투쿠페,2014
86,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C003"", ""menuPrye"": ""2013"", ""searchStr"": """"}",수입,스마트,포투,포투쿠페,2013
87,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C003"", ""menuPrye"": ""2012"", ""searchStr"": """"}",수입,스마트,포투,포투쿠페,2012
88,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C003"", ""menuPrye"": ""2011"", ""searchStr"": """"}",수입,스마트,포투,포투쿠페,2011
89,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C003"", ""menuPrye"": ""2010"", ""searchStr"": """"}",수입,스마트,포투,포투쿠페,2010
90,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C003"", ""menuPrye"": ""2009"", ""searchStr"": """"}",수입,스마트,포투,포투쿠페,2009
91,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C003"", ""menuPrye"": ""2008"", ""searchStr"": """"}",수입,스마트,포투,포투쿠페,2008
92,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C003"", ""menuPrye"": ""2002"", ""searchStr"": """"}",수입,스마트,포투,포투쿠페,2002
93,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C003"", ""menuPrye"": ""2001"", ""searchStr"": """"}",수입,스마트,포투,포투쿠페,2001
94,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C003"", ""menuPrye"": ""2000"", ""searchStr"": """"}",수입,스마트,포투,포투쿠페,2000
95,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B002"", ""menuModel"": ""C001"", ""menuPrye"": ""2017"", ""searchStr"": """"}",수입,스마트,포포,포포,2017
96,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B002"", ""menuModel"": ""C001"", ""menuPrye"": ""2016"", ""searchStr"": """"}",수입,스마트,포포,포포,2016
97,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B002"", ""menuModel"": ""C001"", ""menuPrye"": ""2015"", ""searchStr"": """"}",수입,스마트,포포,포포,2015
98,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B002"", ""menuModel"": ""C001"", ""menuPrye"": ""2013"", ""searchStr"": """"}",수입,스마트,포포,포포,2013
99,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B002"", ""menuModel"": ""C001"", ""menuPrye"": ""2008"", ""searchStr"": """"}",수입,스마트,포포,포포,2008
100,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A030"", ""menuReprsnt"": ""B002"", ""menuModel"": ""C001"", ""menuPrye"": ""2005"", ""searchStr"": """"}",수입,스마트,포포,포포,2005
101,"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""2"", ""menuEntrps"": ""A031"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C001"", ""menuPrye"": ""2016"", ""searchStr"": """"}",수입,스바루,BRZ,BRZ,2016
