파라미터,구분,제조사,대표차명,모델명,연식
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A001"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C001"", ""menuPrye"": ""2016"", ""searchStr"": """"}",국산,기아,K3,K3,2016
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A001"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C001"", ""menuPrye"": ""2015"", ""searchStr"": """"}",국산,기아,K3,K3,2015
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A001"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C001"", ""menuPrye"": ""2014"", ""searchStr"": """"}",국산,기아,K3,K3,2014
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A001"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C001"", ""menuPrye"": ""2013"", ""searchStr"": """"}",국산,기아,K3,K3,2013
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A001"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C001"", ""menuPrye"": ""2012"", ""searchStr"": """"}",국산,기아,K3,K3,2012
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A001"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C002"", ""menuPrye"": ""2020"", ""searchStr"": """"}",국산,기아,K3,K3(BD),2020
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A001"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C002"", ""menuPrye"": ""2018"", ""searchStr"": """"}",국산,기아,K3,K3(BD),2018
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A001"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C003"", ""menuPrye"": ""2016"", ""searchStr"": """"}",국산,기아,K3,K3쿱,2016
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A001"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C003"", ""menuPrye"": ""2015"", ""searchStr"": """"}",국산,기아,K3,K3쿱,2015
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A001"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C003"", ""menuPrye"": ""2014"", ""searchStr"": """"}",국산,기아,K3,K3쿱,2014
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A001"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C003"", ""menuPrye"": ""2013"", ""searchStr"": """"}",국산,기아,K3,K3쿱,2013
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A001"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C004"", ""menuPrye"": ""2022"", ""searchStr"": """"}",국산,기아,K3,뉴K3,2022
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A001"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C004"", ""menuPrye"": ""2021"", ""searchStr"": """"}",국산,기아,K3,뉴K3,2021
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A001"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C004"", ""menuPrye"": ""2020"", ""searchStr"": """"}",국산,기아,K3,뉴K3,2020
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A001"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C004"", ""menuPrye"": ""2019"", ""searchStr"": """"}",국산,기아,K3,뉴K3,2019
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A001"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C004"", ""menuPrye"": ""2018"", ""searchStr"": """"}",국산,기아,K3,뉴K3,2018
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A001"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C004"", ""menuPrye"": ""2017"", ""searchStr"": """"}",국산,기아,K3,뉴K3,2017
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A001"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C004"", ""menuPrye"": ""2016"", ""searchStr"": """"}",국산,기아,K3,뉴K3,2016
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A001"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C004"", ""menuPrye"": ""2015"", ""searchStr"": """"}",국산,기아,K3,뉴K3,2015
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A001"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C006"", ""menuPrye"": ""2022"", ""searchStr"": """"}",국산,기아,K3,올뉴K3GT,2022
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A001"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C006"", ""menuPrye"": ""2021"", ""searchStr"": """"}",국산,기아,K3,올뉴K3GT,2021
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A001"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C006"", ""menuPrye"": ""2020"", ""searchStr"": """"}",국산,기아,K3,올뉴K3GT,2020
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A001"", ""menuReprsnt"": ""B001"", ""menuModel"": ""C006"", ""menuPrye"": ""2019"", ""searchStr"": """"}",국산,기아,K3,올뉴K3GT,2019
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A001"", ""menuReprsnt"": ""B002"", ""menuModel"": ""C001"", ""menuPrye"": ""2022"", ""searchStr"": """"}",국산,기아,K5,K5,2022
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A001"", ""menuReprsnt"": ""B002"", ""menuModel"": ""C001"", ""menuPrye"": ""2021"", ""searchStr"": """"}",국산,기아,K5,K5,2021
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A001"", ""menuReprsnt"": ""B002"", ""menuModel"": ""C001"", ""menuPrye"": ""2020"", ""searchStr"": """"}",국산,기아,K5,K5,2020
"{""machineCode"": ""1"", ""menuType"": ""carlist"", ""menuNation"": ""1"", ""menuEntrps"": ""A001"", ""menuReprsnt"": ""B002"", ""menuModel"": ""C001"", ""menuPrye"": ""2019"", ""searchStr"": """"}",국산,기아,K5,K5,2019
